time	task_A_1	task_B_1	task_B_2	task_B_3	voter	task_C_1
57513	29	47	27	60	4	45
57540	29	47	27	60	4	46
57714	29	47	28	60	4	46
57725	29	47	29	60	4	46
57889	30	47	29	60	4	46
58969	30	47	29	60	4	47
59121	30	47	29	61	4	47
59304	31	47	29	61	4	47
60502	32	47	29	61	4	47
60729	32	47	29	62	4	47
60740	32	47	29	63	4	47
60751	32	47	29	64	4	47
60930	32	48	29	64	4	47
62110	33	48	29	64	4	47
62122	34	48	29	64	4	47
62133	35	48	29	64	4	47
62337	35	48	29	65	4	47
63543	35	49	29	65	4	47
63554	35	50	29	65	4	47
63565	35	51	29	65	4	47
63615	35	51	29	65	4	48
63626	35	51	29	65	4	49
63744	35	51	29	66	4	49
63755	35	51	29	67	4	49
63954	35	52	29	67	4	49
65151	35	52	29	68	4	49
65162	35	52	29	69	4	49
65173	35	52	29	70	4	49
65352	35	53	29	70	4	49
65363	35	54	29	70	4	49
65374	35	55	29	70	4	49
66558	35	55	29	71	4	49
66759	35	56	29	71	4	49
66811	35	56	29	71	4	50
66822	35	56	29	71	4	51
66960	35	56	29	72	4	51
68140	36	56	29	72	4	51
68367	36	56	29	73	4	51
69573	36	56	29	74	4	51
69774	36	57	29	74	4	51
69785	36	58	29	74	4	51
69835	36	58	29	74	4	52
69975	36	58	30	74	4	52
69986	36	58	31	74	4	52
71155	37	58	31	74	4	52
71382	37	58	31	75	4	52
71393	37	58	31	76	4	52
71405	37	58	31	77	4	52
72588	37	59	31	77	4	52
72599	37	60	31	77	4	52
72657	37	60	31	77	4	53
72789	37	60	31	78	4	53
72990	37	61	31	78	4	53
73001	37	62	31	78	4	53
74196	37	62	32	78	4	53
74371	38	62	32	78	4	53
75603	38	62	32	79	4	53
75823	38	63	32	79	4	53
75847	38	63	32	79	4	54
76005	38	63	33	79	4	54
77211	38	63	33	80	4	54
77222	38	63	33	81	4	54
77413	38	64	33	81	4	54
77424	38	65	33	81	4	54
77480	38	65	33	81	4	55
77491	38	65	33	81	4	56
78618	38	65	34	81	4	56
78630	38	65	35	81	4	56
78641	38	65	36	81	4	56
78793	39	65	36	81	4	56
79020	39	65	36	82	4	56
80065	39	65	36	82	4	57
80226	39	65	36	83	4	57
80427	39	66	36	83	4	57
80485	39	66	36	83	4	58
81607	40	66	36	83	4	58
81834	40	66	36	84	4	58
82009	41	66	36	84	4	58
83066	41	66	37	84	4	58
83215	42	66	37	84	4	58
83226	43	66	37	84	4	58
83238	44	66	37	84	4	58
83268	44	66	37	84	5	58
83442	44	66	37	85	5	58
84622	45	66	37	85	5	58
84849	45	66	37	86	5	58
85050	45	67	37	86	5	58
85061	45	68	37	86	5	58
86067	45	69	37	86	5	58
86121	45	69	37	86	5	59
86133	45	69	37	86	5	60
86256	45	69	37	87	5	60
86267	45	69	37	88	5	60
86279	45	69	37	89	5	60
86457	45	70	37	89	5	60
86469	45	71	37	89	5	60
86521	45	71	37	89	5	61
87637	46	71	37	89	5	61
87648	47	71	37	89	5	61
87864	47	71	37	90	5	61
88065	47	72	37	90	5	61
89097	47	72	37	90	6	61
89280	47	72	38	90	6	61
89328	47	72	38	90	6	62
89339	47	72	38	90	6	63
89351	47	72	38	90	6	64
89476	47	72	38	91	6	64
90687	47	72	38	92	6	64
90894	47	73	38	92	6	64
90942	47	73	38	92	6	65
90953	47	73	38	92	6	66
92085	47	73	38	93	6	66
92286	47	74	38	93	6	66
92337	47	74	38	93	6	67
92487	47	74	38	94	6	67
92498	47	74	38	95	6	67
92509	47	74	38	96	6	67
93667	48	74	38	96	6	67
93894	48	74	38	97	6	67
93905	48	74	38	98	6	67
95074	49	74	38	98	6	67
95085	50	74	38	98	6	67
95096	51	74	38	98	6	67
95301	51	74	38	99	6	67
95503	51	75	38	99	6	67
95562	51	75	38	99	6	68
96708	51	75	38	100	6	68
96909	51	76	38	100	6	68
96920	51	77	38	100	6	68
96931	51	78	38	100	6	68
98115	51	79	38	100	6	68
98171	51	79	38	100	6	69
98316	51	79	38	101	6	69
98327	51	79	38	102	6	69
98338	51	79	38	103	6	69
98517	51	80	38	103	6	69
98567	51	80	38	103	6	70
99723	51	80	39	103	6	70
99734	51	80	40	103	6	70
99745	51	80	41	103	6	70
99898	52	80	41	103	6	70
101130	52	80	41	104	6	70
101331	52	81	41	104	6	70
101386	52	81	41	104	6	71
101397	52	81	41	104	6	72
101408	52	81	41	104	6	73
101547	52	81	41	105	6	73
101558	52	81	41	106	6	73
102738	52	81	42	106	6	73
102749	52	81	43	106	6	73
102760	52	81	44	106	6	73
102913	53	81	44	106	6	73
102924	54	81	44	106	6	73
104119	55	81	44	106	6	73
104346	55	81	44	107	6	73
104357	55	81	44	108	6	73
104547	55	82	44	108	6	73
104558	55	83	44	108	6	73
104569	55	84	44	108	6	73
105753	55	84	45	108	6	73
105781	55	84	45	108	6	74
105792	55	84	45	108	6	75
105803	55	84	45	108	6	76
105960	55	84	45	109	6	76
107160	55	84	46	109	6	76
107171	55	84	47	109	6	76
107182	55	84	48	109	6	76
107335	56	84	48	109	6	76
107562	56	84	48	110	6	76
107573	56	84	48	111	6	76
108768	56	85	48	111	6	76
108779	56	86	48	111	6	76
108833	56	86	48	111	6	77
108844	56	86	48	111	6	78
108855	56	86	48	111	6	79
108983	56	86	48	112	6	79
110149	57	86	48	112	6	79
110376	57	86	48	113	6	79
110387	57	86	48	114	6	79
