time	task_A	task_B	task_C
36241	156	152	148
36342	157	153	149
36443	157	153	149
36544	158	154	150
36645	158	154	150
36746	159	155	151
36847	159	155	151
36948	159	155	151
37049	159	155	151
37150	160	156	152
37251	160	156	152
37352	161	157	153
37453	161	157	153
37554	162	158	154
37655	162	158	154
37756	163	159	155
37857	163	159	155
37958	164	160	156
38059	164	160	156
38160	165	161	157
38261	165	161	157
38362	165	161	157
38463	165	161	157
38564	166	162	158
38665	166	162	158
38766	167	163	159
38867	167	163	159
38968	168	164	160
39069	168	164	160
39170	169	165	161
39271	169	165	161
39372	170	166	162
39473	170	166	162
39574	171	167	163
39675	171	167	163
39776	171	167	163
39877	171	167	163
39978	172	168	164
40079	172	168	164
40180	172	168	164
40281	172	168	164
40382	173	169	165
40483	173	169	165
40584	174	170	166
40685	174	170	166
40786	175	171	167
40887	175	171	167
40988	176	172	168
41089	176	172	168
41190	177	173	169
41291	177	173	169
41392	178	174	170
41493	178	174	170
41594	179	174	170
41695	179	174	170
41796	180	175	171
41897	180	175	171
41998	181	176	172
42099	181	176	172
42200	182	177	173
42301	182	177	173
42402	183	178	174
42503	183	178	174
42604	184	179	175
42705	184	179	175
42806	185	180	176
42907	185	180	176
43008	185	180	176
43109	185	180	176
43210	186	181	177
43311	186	181	177
43412	187	182	178
43513	187	182	178
43614	188	183	179
43715	188	183	179
43816	189	184	180
43917	189	184	180
44018	190	185	181
44119	190	185	181
44220	191	186	182
44321	191	186	182
44422	192	187	182
44523	192	187	182
44624	193	188	183
44725	193	188	183
44826	194	189	184
44927	194	189	184
45028	195	190	185
45129	195	190	185
45230	196	191	186
45331	196	191	186
45432	197	192	187
45533	198	192	187
45634	198	193	188
45735	199	193	188
45836	199	193	188
45937	200	193	188
46038	200	194	189
46139	200	194	189
46240	200	194	189
46341	201	194	189
46442	201	195	190
46543	202	195	190
46644	202	196	191
46745	203	196	191
46846	203	197	192
46947	204	197	192
47048	204	198	193
47149	205	198	193
47250	205	199	194
47351	206	199	194
47452	206	199	194
47553	207	199	194
47654	207	200	195
47755	208	200	195
47856	208	201	196
47957	209	201	196
48058	209	202	197
48159	210	202	197
48260	210	203	198
48361	211	203	198
48462	211	204	199
48563	212	204	199
48664	212	205	200
48765	212	205	200
48866	212	205	200
48967	213	205	200
49068	213	206	201
49169	213	206	201
49270	213	206	201
49371	214	206	201
49472	214	207	202
49573	215	207	202
49674	215	208	203
49775	216	208	203
49876	216	209	204
49977	217	209	204
50078	217	210	205
50179	218	210	205
50280	218	211	206
50381	218	211	206
50482	218	211	206
50583	219	211	206
50684	219	212	207
50785	220	213	207
50886	220	213	208
50987	221	214	208
51088	221	214	209
51189	222	215	209
51290	222	215	210
51391	223	216	210
51492	223	216	211
51593	224	217	211
51694	224	217	212
51795	225	217	212
51896	225	218	213
51997	226	218	213
52098	226	219	214
52199	227	219	214
52300	227	220	215
52401	228	221	215
52502	228	221	216
52603	229	222	216
52704	229	222	217
52805	230	223	217
52906	230	223	218
53007	231	224	218
53108	231	224	219
53209	232	225	219
53310	232	225	220
53411	233	226	220
53512	233	226	221
53613	233	226	221
53714	233	226	221
53815	234	227	221
53916	234	227	222
54017	235	228	222
54118	235	228	223
54219	236	229	223
54320	236	229	224
54421	237	230	224
54522	237	230	225
54623	238	231	225
54731	238	231	226
54832	239	232	226
54933	239	232	227
55034	239	232	227
55135	239	232	227
55236	240	233	228
55337	240	233	228
55438	241	234	229
55539	241	234	229
55640	242	235	230
55741	242	235	230
55842	243	236	231
55943	243	236	231
56044	244	237	232
56145	244	237	232
56246	245	238	233
56347	245	238	233
56448	246	238	233
56549	246	239	234
56650	247	239	234
56751	247	239	234
56852	248	240	235
56953	248	240	235
57054	249	241	236
57155	249	241	236
57256	250	242	237
57357	250	242	237
57458	251	243	238
57559	251	243	238
57660	252	244	239
57761	252	244	239
57862	253	244	239
57963	253	244	239
58064	254	245	240
58165	254	245	240
58266	254	245	240
58367	254	245	240
58468	255	246	241
58569	255	246	241
58670	256	247	242
58771	256	247	242
58872	257	248	243
58973	257	248	243
59074	258	249	244
59175	258	249	244
59276	259	250	245
59377	259	250	245
59478	260	250	245
59579	260	250	245
59680	261	251	246
59781	261	251	246
59882	262	252	247
59983	262	252	247
60084	263	253	248
60185	263	253	248
60286	264	254	249
60387	264	254	249
60488	265	255	250
60589	265	255	250
60690	266	256	251
60791	266	256	251
60892	266	256	251
60993	266	256	251
61094	267	257	252
61195	267	257	252
61296	267	257	252
61397	267	257	252
61498	268	258	253
61599	268	258	253
61700	269	259	254
61801	269	259	254
