Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
211	false	0	1438677	2	rdi
212	false	0	1762586	9	rbp
213	false	0	342460	5	rbp
214	false	0	1201189	8	r13
215	false	0	216334	8	r14
216	false	0	1030567	6	r8
217	false	0	1162501	5	rsp
218	false	0	878816	8	rcx
219	false	0	1139494	9	r12
220	false	0	1885101	6	rsi
221	false	0	28331	5	rdx
222	false	0	1186610	3	rsi
223	false	0	486743	6	rsi
224	false	0	1896315	8	rax
225	false	0	160220	4	rax
226	false	0	160220	4	rax
227	false	0	160220	4	rax
228	false	0	970034	5	r13
229	false	0	524977	0	r12
230	false	0	854219	5	r15
231	false	0	390489	0	r10
232	false	0	372365	2	r8
233	false	0	1207468	0	r11
234	false	0	1870332	2	r13
235	false	0	451919	1	r13
236	false	0	1042583	6	rdi
237	false	0	1075093	4	r15
238	false	0	482826	5	r15
239	false	0	518234	4	rsp
240	false	0	518234	4	rcx
241	false	0	760518	5	rbx
242	false	0	1206675	3	r13
243	false	0	397124	6	rsp
244	false	0	397124	6	rcx
245	false	0	731517	2	r14
246	false	0	352063	5	r14
247	false	0	508884	5	r12
248	false	0	1337198	6	r8
249	false	0	174489	6	r8
250	false	0	1447545	0	rsi
251	false	0	560324	4	r15
252	false	0	666357	6	r11
253	false	0	1541842	8	rbp
254	false	0	728440	5	r12
255	false	0	1823033	5	r15
256	false	0	450393	7	rbp
257	false	0	1181712	3	rcx
258	true	32767	903362	8	rsi
259	false	0	1124500	0	rdi
260	false	0	334737	9	rsp
261	false	0	433851	8	rsp
262	false	0	112979	3	rbx
263	false	0	1297789	1	rcx
264	false	0	253914	1	rdi
265	false	0	543323	2	r12
266	false	0	1165110	1	r14
267	false	0	301717	4	rsi
268	false	0	301717	4	r8
269	false	0	1437838	6	r15
270	false	0	1133135	3	rax
271	false	0	1340418	8	rsp
272	false	0	1452109	6	rsi
273	false	0	660270	0	rsi
274	false	0	913794	5	r9
275	false	0	1221971	5	r9
276	false	0	292634	0	r12
277	false	0	945399	8	r10
278	false	0	671718	2	rbx
279	false	0	223601	0	rax
280	false	0	181243	0	r14
281	false	0	511883	5	r12
282	false	0	632010	7	rdx
283	false	0	1283093	3	rdi
284	false	0	214554	7	r11
285	false	0	1041643	9	r11
286	false	0	1914163	4	rax
287	false	0	899042	6	rsi
288	false	0	1340379	4	rdx
289	false	0	1759025	9	r13
290	false	0	243751	9	rsi
291	false	0	90240	3	r11
292	false	0	1729186	4	r11
