Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
902	false	0	1142430	8	r11
903	false	0	925795	7	rbx
904	false	0	193319	9	rdx
905	false	0	1601044	9	rbp
906	false	0	507741	3	r8
907	false	0	952266	3	rax
908	false	0	1548401	6	r11
909	false	0	939374	9	rax
910	false	0	1371906	8	rdx
911	false	0	1736525	7	r8
912	false	0	320902	4	r8
913	false	0	1910568	7	rax
914	false	0	1736629	8	rdi
915	false	0	1177963	9	rbp
916	false	0	1526412	8	r11
917	false	0	588688	1	r12
918	false	0	515432	7	r12
919	false	0	1578873	6	rcx
920	false	0	59438	0	rcx
921	false	0	602190	0	rax
922	false	0	246802	4	rsp
923	false	0	246802	4	r14
924	false	0	1610743	4	r14
925	false	0	15649	3	r9
926	false	0	1615861	3	r11
927	false	0	1560638	5	r13
928	false	0	288423	4	r14
929	false	0	868000	8	r10
930	false	0	548231	2	r10
931	false	0	548231	2	r9
932	false	0	175725	7	rsp
933	false	0	950501	0	r14
934	false	0	945393	4	rsp
935	false	0	815269	0	rdx
936	false	0	1784545	4	r13
937	false	0	450670	9	r13
938	false	0	499941	7	r14
939	false	0	160356	0	r14
940	false	0	733609	9	r14
941	false	0	1140284	7	r10
942	false	0	1286123	0	rdi
943	false	0	724341	3	rsp
944	false	0	629389	9	rsp
945	false	0	1396267	6	rsi
946	false	0	1250909	6	rcx
947	false	0	678032	1	r8
948	false	0	260708	8	rax
949	false	0	260708	8	r12
950	false	0	1535627	1	rbx
951	false	0	370725	5	rax
952	false	0	1864301	8	rdi
953	false	0	58013	9	rdi
954	false	0	233234	3	r11
955	false	0	1136792	5	rsp
956	false	0	53881	4	rsp
957	false	0	53881	4	r15
958	false	0	642005	6	r11
959	false	0	809294	2	rsp
960	false	0	257175	0	r13
961	false	0	1849347	6	rsp
962	false	0	1527025	1	r8
963	false	0	906050	0	rdi
964	false	0	914249	0	r10
965	false	0	1433377	8	r11
966	false	0	527335	7	rdx
967	false	0	1411202	3	rdx
968	false	0	1537778	0	r11
969	false	0	399024	1	r13
970	false	0	958416	4	rcx
971	false	0	49303	1	rbp
972	false	0	1335374	0	r13
973	false	0	1266458	3	r9
974	false	0	706596	7	r13
975	false	0	1480649	4	rsp
976	false	0	575258	4	rbx
977	false	0	735643	0	r13
978	false	0	635864	8	r14
979	false	0	1661135	3	rbp
980	false	0	1883281	1	rsp
981	false	0	907268	0	r12
982	false	0	32197	4	r14
983	false	0	154089	0	r14
984	false	0	1193420	3	rbx
985	false	0	913303	1	r9
986	false	0	1017316	8	rdi
987	false	0	904177	7	r15
988	false	0	446084	4	r8
989	false	0	725793	7	rdx
990	false	0	859778	2	rcx
991	false	0	824555	7	rax
992	false	0	341549	2	rax
993	false	0	341549	2	rsp
994	false	0	754483	4	r9
995	false	0	539526	4	rax
996	false	0	539526	4	rbp
997	false	0	1811145	3	rcx
998	false	0	241466	6	rsi
999	false	0	241466	6	rsi
1000	false	0	241466	6	rsi
